StringtieGene	honeybee.GeneName	dmel.symbol
MSTRG.3547	LOC551826	fs(1)h
MSTRG.3548	LOC107964132	CCDC151
MSTRG.3549	LOC113218665	CCDC151
MSTRG.355	LOC102656395	Hsf
MSTRG.3550	LOC409857	CG3527
MSTRG.3551	/	/
MSTRG.3552	/	/
MSTRG.3553	LOC412923	Rop
MSTRG.3554	LOC102656190	shi
MSTRG.3555	/	/
MSTRG.3556	/	/
MSTRG.3557	LOC113218701	/
MSTRG.3558	/	/
MSTRG.3559	/	/
MSTRG.356	LOC725745	CG3704
MSTRG.3560	/	/
MSTRG.3561	/	/
MSTRG.3562	/	/
MSTRG.3563	/	/
MSTRG.3564	LOC102655354	CG42684
MSTRG.3565	/	/
MSTRG.3566	/	/
MSTRG.3567	/	/
MSTRG.3568	/	/
MSTRG.3569	/	/
MSTRG.357	LOC113219256	RPA2
MSTRG.3570	LOC408733	PpV
MSTRG.3571	/	shi
MSTRG.3572	LOC551537	CG6984
MSTRG.3573	/	CG6984
MSTRG.3574	LOC408734	CG30460
MSTRG.3575	LOC102656556	/
MSTRG.3576	LOC113218622	CG30460
MSTRG.3577	LOC550667	SdhA
MSTRG.3578	LOC102653938	/
MSTRG.3579	/	SdhA
MSTRG.358	LOC726449	/
MSTRG.3580	/	/
MSTRG.3581	LOC107964140	/
MSTRG.3582	LOC102653649	/
MSTRG.3583	LOC107964138	/
MSTRG.3584	/	/
MSTRG.3585	/	/
MSTRG.3586	LOC412956	Hs3st-A
MSTRG.3587	/	/
MSTRG.3588	/	/
MSTRG.3589	/	/
MSTRG.359	LOC552636	CG6154
MSTRG.3590	/	/
MSTRG.3591	LOC107964214	/
MSTRG.3592	LOC100578040	ana3
MSTRG.3593	LOC107964218	/
MSTRG.3594	LOC102654214	/
MSTRG.3595	LOC107964219	IP3K1
MSTRG.3596	LOC724559	Rad17
MSTRG.3597	LOC107964134	/
MSTRG.3598	/	/
MSTRG.3599	LOC102653751	/
MSTRG.36	LOC551448	Prps
MSTRG.360	LOC726088	Pp2A-29B
MSTRG.3600	/	/
MSTRG.3601	LOC102653826	/
MSTRG.3602	LOC724780	mthl10
MSTRG.3603	LOC100578706	RAF2
MSTRG.3604	Mir6055	/
MSTRG.3605	LOC724737	CG16711
MSTRG.3606	LOC408730	CG9784
MSTRG.3607	LOC408729	CG32447
MSTRG.3608	LOC100578584	/
MSTRG.3609	LOC410916	Trp1
MSTRG.361	/	/
MSTRG.3610	LOC408728	MED18
MSTRG.3611	LOC408727	Smyd4-3
MSTRG.3612	LOC552149	Drip
MSTRG.3613	/	/
MSTRG.3614	/	/
MSTRG.3615	LOC102656557	/
MSTRG.3616	LOC410915	Prip
MSTRG.3617	LOC725061	pita
MSTRG.3618	/	/
MSTRG.3619	/	/
MSTRG.362	/	/
MSTRG.3620	Cpap3-b	obst-B
MSTRG.3621	/	Atpalpha
MSTRG.3622	/	obst-B
MSTRG.3623	LOC100578320	/
MSTRG.3624	LOC724900	/
MSTRG.3625	/	/
MSTRG.3626	/	/
MSTRG.3627	Ube2g1	CG40045
MSTRG.3628	LOC413503	CG42594
MSTRG.3629	LOC725123	Arc1
MSTRG.363	/	/
MSTRG.3630	LOC113218616	/
MSTRG.3631	LOC102656234	/
MSTRG.3632	/	/
MSTRG.3633	LOC551949	lok
MSTRG.3634	LOC551917	SdhB
MSTRG.3635	LOC551715	EndoG
MSTRG.3636	LOC725591	crb
MSTRG.3637	LOC412675	Got2
MSTRG.3638	LOC100576872	Rad9
MSTRG.3639	LOC412869	Vps29
MSTRG.364	LOC409468	sona
MSTRG.3640	LOC412868	Ufd1
MSTRG.3641	LOC412620	MFS18
MSTRG.3642	LOC102654231	MFS18
MSTRG.3643	LOC410905	nrv2
MSTRG.3644	LOC113218631	nrv2
MSTRG.3645	LOC725864	CG10492
MSTRG.3646	/	/
MSTRG.3647	LOC408722	nrv3
MSTRG.3648	/	/
MSTRG.3649	LOC100577675	Gart
MSTRG.365	LOC102653866	sona
MSTRG.3650	LOC551875	CG43322
MSTRG.3651	LOC100576620	CG1622
MSTRG.3652	LOC410911	CG3631
MSTRG.3653	LOC100576718	sick
MSTRG.3654	LOC102656910	/
MSTRG.3655	/	/
MSTRG.3656	/	/
MSTRG.3657	LOC410910	CG17528
MSTRG.3658	LOC725991	nrv1
MSTRG.3659	LOC408724	CG6961
MSTRG.366	LOC412397	CG2991
MSTRG.3660	LOC408723	Cen
MSTRG.3661	LOC107964183	/
MSTRG.3662	LOC113218667	/
MSTRG.3663	LOC410907	Prp31
MSTRG.3664	LOC410906	cta
MSTRG.3665	/	/
MSTRG.3666	LOC724131	nmdyn-D6
MSTRG.3667	LOC724167	CG11125
MSTRG.3668	LOC724215	Top2
MSTRG.3669	LOC410904	Frl
MSTRG.367	/	/
MSTRG.3670	/	/
MSTRG.3671	LOC100577324	/
MSTRG.3672	/	/
MSTRG.3673	LOC551510	sprt
MSTRG.3674	TRNAR-UCU	/
MSTRG.3675	/	/
MSTRG.3676	TRNAV-UAC	/
MSTRG.3677	LOC551540	RfC4
MSTRG.3678	LOC408721	Nca
MSTRG.3679	/	/
MSTRG.368	/	/
MSTRG.3680	LOC550745	APP-BP1
MSTRG.3681	/	/
MSTRG.3682	LOC551701	CG11178
MSTRG.3683	LOC551673	Tlk
MSTRG.3684	/	/
MSTRG.3685	LOC551727	CG31908
MSTRG.3686	LOC724382	obst-A
MSTRG.3687	LOC726305	CG6923
MSTRG.3688	/	/
MSTRG.3689	LOC551403	Scsalpha1
MSTRG.369	Dat	DAT
MSTRG.3690	LOC726253	Alg13
MSTRG.3691	LOC100576850	Rtc1
MSTRG.3692	LOC551302	Adat1
MSTRG.3693	LOC412596	CG11396
MSTRG.3694	/	/
MSTRG.3695	LOC100576993	zfh1
MSTRG.3696	/	/
MSTRG.3697	LOC412036	Cdc5
MSTRG.3698	LOC409324	Srlp
MSTRG.3699	/	/
MSTRG.37	LOC410665	Mpped
MSTRG.370	LOC100578115	DAT
MSTRG.3700	LOC409543	Kap-alpha1
MSTRG.3701	LOC726100	TORIP
MSTRG.3702	LOC412690	CG5196
MSTRG.3703	LOC552583	jus
MSTRG.3704	/	/
MSTRG.3705	LOC727140	CG11839
MSTRG.3706	LOC412670	CG11899
MSTRG.3707	LOC552548	Tor
MSTRG.3708	/	/
MSTRG.3709	LOC411557	CG46385
MSTRG.371	LOC409417	CG12099
MSTRG.3710	LOC409306	BckdhB
MSTRG.3711	/	/
MSTRG.3712	LOC726394	Cep290
MSTRG.3713	LOC726377	Eh
MSTRG.3714	LOC113218517	/
MSTRG.3715	LOC412013	cysu
MSTRG.3716	/	cysu
MSTRG.3717	/	/
MSTRG.3718	/	/
MSTRG.3719	/	/
MSTRG.372	/	/
MSTRG.3720	/	/
MSTRG.3721	/	/
MSTRG.3722	/	/
MSTRG.3723	/	/
MSTRG.3724	LOC102656821	/
MSTRG.3725	/	/
MSTRG.3726	/	/
MSTRG.3727	/	/
MSTRG.3728	LOC102653628	/
MSTRG.3729	/	/
MSTRG.373	/	/
MSTRG.3730	LOC102653803	/
MSTRG.3731	/	/
MSTRG.3732	LOC409337	tna
MSTRG.3733	/	/
MSTRG.3734	/	/
MSTRG.3735	/	/
MSTRG.3736	/	/
MSTRG.3737	/	/
MSTRG.3738	LOC102656302	/
MSTRG.3739	LOC412235	Drice
MSTRG.374	/	/
MSTRG.3740	LOC100577580	CG11356
MSTRG.3741	LOC412234	P5cr
MSTRG.3742	LOC725905	Prp18
MSTRG.3743	LOC107965775	/
MSTRG.3744	LOC100576498	CG5597
MSTRG.3745	LOC102655287	CG13532
MSTRG.3746	/	ND1
MSTRG.3747	LOC113218735	CYTB
MSTRG.3748	/	/
MSTRG.3749	/	/
MSTRG.375	Hsc70-4	Hsc70-4
MSTRG.3750	/	/
MSTRG.3751	/	/
MSTRG.3752	LOC412540	CG42269
MSTRG.3753	LOC552283	GstS1
MSTRG.3754	/	GstS1
MSTRG.3755	GstS1	GstS1
MSTRG.3756	/	/
MSTRG.3757	LOC113218728	/
MSTRG.3758	LOC100578134	/
MSTRG.3759	/	/
MSTRG.376	/	Hsc70-1
MSTRG.3760	/	/
MSTRG.3761	LOC113218557	/
MSTRG.3762	LOC724226	CG8630
MSTRG.3763	/	/
MSTRG.3764	LOC726755	PK1-R
MSTRG.3765	/	/
MSTRG.3766	LOC113218558	CG8773
MSTRG.3767	LOC113218712	CG8630
MSTRG.3768	LOC100576797	Desat2
MSTRG.3769	LOC552417	Desat1
MSTRG.377	Fabp	fabp
MSTRG.3770	LOC107965749	CG9743
MSTRG.3771	LOC727166	CG15531
MSTRG.3772	LOC412166	Desat1
MSTRG.3773	LOC100576135	Ir75d
MSTRG.3774	LOC100576093	/
MSTRG.3775	LOC100579057	CG15027
MSTRG.3776	LOC409598	CG33978
MSTRG.3777	/	/
MSTRG.3778	LOC551746	ci
MSTRG.3779	TRNAF-GAA	/
MSTRG.378	LOC727596	CG9257
MSTRG.3780	/	/
MSTRG.3781	LOC100578955	CG4213
MSTRG.3782	LOC409182	Gdap2
MSTRG.3783	LOC102654758	/
MSTRG.3784	Mir9877	/
MSTRG.3785	LOC726080	CG42588
MSTRG.3786	LOC412662	ALiX
MSTRG.3787	LOC552451	/
MSTRG.3788	LOC551629	IleRS
MSTRG.3789	LOC409905	Dgat2
MSTRG.379	LOC724192	CG10376
MSTRG.3790	LOC551858	cn
MSTRG.3791	LOC413936	hlk
MSTRG.3792	LOC107964351	RpL7
MSTRG.3793	LOC551599	Tace
MSTRG.3794	LOC412067	mora
MSTRG.3795	LOC100576898	CG5412
MSTRG.3796	LOC551511	EloB
MSTRG.3797	LOC408766	SMSr
MSTRG.3798	LOC102654638	/
MSTRG.3799	LOC102654965	ms(3)76Cc
MSTRG.38	LOC107964061	ftz-f1
MSTRG.380	/	/
MSTRG.3800	LOC102654533	pan
MSTRG.3801	LOC102654463	/
MSTRG.3802	/	/
MSTRG.3803	LOC726724	pyx
MSTRG.3804	LOC726733	Rassf
MSTRG.3805	LOC107964264	/
MSTRG.3806	LOC102653946	/
MSTRG.3807	/	/
MSTRG.3808	LOC100578989	/
MSTRG.3809	LOC726761	sv
MSTRG.381	/	/
MSTRG.3810	LOC102654259	/
MSTRG.3811	LOC551085	Dnali1
MSTRG.3812	LOC411529	AMPKalpha
MSTRG.3813	LOC551173	Moca-cyp
MSTRG.3814	LOC411531	/
MSTRG.3815	LOC100576765	CG6310
MSTRG.3816	LOC411533	CG8507
MSTRG.3817	LOC550920	Cdc16
MSTRG.3818	LOC550865	Lar
MSTRG.3819	/	/
MSTRG.382	LOC100577977	/
MSTRG.3820	/	/
MSTRG.3821	LOC412149	CG5854
MSTRG.3822	LOC413669	scrib
MSTRG.3823	LOC113218710	scrib
MSTRG.3824	LOC100576735	Pex11c
MSTRG.3825	LOC107964357	/
MSTRG.3826	LOC411907	orb
MSTRG.3827	LOC100578557	CG15890
MSTRG.3828	LOC412471	put
MSTRG.3829	LOC726949	CG7029
MSTRG.383	LOC107964644	/
MSTRG.3830	/	/
MSTRG.3831	LOC726966	Ance-3
MSTRG.3832	LOC727027	CG3702
MSTRG.3833	LOC726980	CG44250
MSTRG.3834	LOC726989	Ltn1
MSTRG.3835	LOC100578188	PIG-F
MSTRG.3836	LOC409773	Fdh
MSTRG.3837	LOC409774	Cow
MSTRG.3838	LOC102655821	/
MSTRG.3839	LOC100578006	Nurf-38
MSTRG.384	/	/
MSTRG.3840	LOC107964313	/
MSTRG.3841	LOC411519	alphaTub85E
MSTRG.3842	LOC551918	Caf1-105
MSTRG.3843	LOC727085	crol
MSTRG.3844	LOC408819	CG5861
MSTRG.3845	/	/
MSTRG.3846	LOC102654688	/
MSTRG.3847	LOC102654720	/
MSTRG.3848	/	/
MSTRG.3849	LOC412472	l(2)dtl
MSTRG.385	LOC102656214	/
MSTRG.3850	LOC727071	Mulk
MSTRG.3851	LOC408820	CG8001
MSTRG.3852	LOC102654745	/
MSTRG.3853	LOC107964334	/
MSTRG.3854	LOC727092	nub
MSTRG.3855	/	/
MSTRG.3856	/	/
MSTRG.3857	/	/
MSTRG.3858	LOC102654312	dbe
MSTRG.3859	LOC411054	Pgant2
MSTRG.386	LOC410034	fabp
MSTRG.3860	/	/
MSTRG.3861	/	/
MSTRG.3862	LOC113218749	/
MSTRG.3863	LOC113218748	/
MSTRG.3864	LOC411053	Cubn
MSTRG.3865	LOC102654271	/
MSTRG.3866	LOC411052	MFS17
MSTRG.3867	LOC412130	MRP
MSTRG.3868	LOC412129	wapl
MSTRG.3869	LOC727055	mRpS31
MSTRG.387	/	/
MSTRG.3870	LOC412345	Ski6
MSTRG.3871	LOC551775	Mtpbeta
MSTRG.3872	Apd-2	/
MSTRG.3873	/	/
MSTRG.3874	/	/
MSTRG.3875	LOC727165	/
MSTRG.3876	/	/
MSTRG.3877	/	/
MSTRG.3878	LOC113218711	CG11155
MSTRG.3879	Mir6012	/
MSTRG.388	LOC724280	CG15908
MSTRG.3880	/	/
MSTRG.3881	LOC102653929	/
MSTRG.3882	/	/
MSTRG.3883	LOC113218731	/
MSTRG.3884	LOC113218733	/
MSTRG.3885	Mir6063	/
MSTRG.3886	/	/
MSTRG.3887	apd-3	CG10910
MSTRG.3888	/	/
MSTRG.3889	LOC727131	/
MSTRG.389	LOC411794	Not3
MSTRG.3890	LOC727136	/
MSTRG.3891	LOC727145	/
MSTRG.3892	Apd-3	/
MSTRG.3893	/	/
MSTRG.3894	Apd-1	/
MSTRG.3895	/	/
MSTRG.3896	LOC412993	Ekar
MSTRG.3897	LOC411048	Sesn
MSTRG.3898	TRNAA-AGC	/
MSTRG.3899	Mir9892	/
MSTRG.39	/	/
MSTRG.390	LOC410033	BCL7
MSTRG.3900	TRNAK-UUU	/
MSTRG.3901	TRNAK-UUU	/
MSTRG.3902	LOC102655966	/
MSTRG.3903	LOC113218740	/
MSTRG.3904	LOC107964278	/
MSTRG.3905	/	/
MSTRG.3906	TRNAK-CUU	/
MSTRG.3907	LOC408818	nompB
MSTRG.3908	LOC724383	CenG1A
MSTRG.3909	LOC102656142	/
MSTRG.391	LOC724327	sni
MSTRG.3910	LOC107964349	Sur-8
MSTRG.3911	LOC100578773	CG5516
MSTRG.3912	LOC411640	Mcm2
MSTRG.3913	LOC102656291	CG14671
MSTRG.3914	LOC724531	RpS28b
MSTRG.3915	GstS4	GstS1
MSTRG.3916	LOC552078	CG8774
MSTRG.3917	LOC100577614	Vamp7
MSTRG.3918	LOC107964258	CG31735
MSTRG.3919	Vg	/
MSTRG.392	Trxr-1	Trxr1
MSTRG.3920	/	/
MSTRG.3921	LOC550748	CG8243
MSTRG.3922	LOC552171	/
MSTRG.3923	LOC550671	CG1299
MSTRG.3924	LOC724738	/
MSTRG.3925	LOC409794	CG5823
MSTRG.3926	LOC411046	CanA-14F
MSTRG.3927	/	/
MSTRG.3928	LOC107964284	/
MSTRG.3929	LOC102656496	/
MSTRG.393	LOC102655811	Mmp2
MSTRG.3930	LOC413400	mre11
MSTRG.3931	Rps14	RpS14a
MSTRG.3932	LOC408817	CG8745
MSTRG.3933	/	CG8745
MSTRG.3934	LOC107964315	CG34401
MSTRG.3935	TRNAS-AGA	/
MSTRG.3936	LOC107964314	/
MSTRG.3937	LOC413399	Dora
MSTRG.3938	LOC102654156	/
MSTRG.3939	TRNAG-GCC	/
MSTRG.394	LOC413693	/
MSTRG.3940	TRNAG-GCC	/
MSTRG.3941	TRNAG-GCC	/
MSTRG.3942	/	/
MSTRG.3943	/	/
MSTRG.3944	LOC725207	DCTN4-p62
MSTRG.3945	LOC102654465	Egm
MSTRG.3946	LOC409110	trus
MSTRG.3947	LOC551852	Ubc6
MSTRG.3948	LOC411044	CG7379
MSTRG.3949	LOC725645	bou
MSTRG.395	LOC100576321	MESR4
MSTRG.3950	LOC409316	coro
MSTRG.3951	LOC409394	Uba3
MSTRG.3952	LOC412221	CG10576
MSTRG.3953	LOC409560	eIF4B
MSTRG.3954	LOC410084	Sec15
MSTRG.3955	LOC551257	Jupiter
MSTRG.3956	TRNAG-GCC	/
MSTRG.3957	/	/
MSTRG.3958	LOC102654674	/
MSTRG.3959	LOC408815	Msh6
MSTRG.396	/	/
MSTRG.3960	LOC411043	MED17
MSTRG.3961	LOC408814	aph-1
MSTRG.3962	LOC725546	adp
MSTRG.3963	Camkii	CaMKII
MSTRG.3964	/	/
MSTRG.3965	/	/
MSTRG.3966	LOC102655144	/
MSTRG.3967	/	/
MSTRG.3968	LOC102654974	/
MSTRG.3969	Gfat2	Gfat1
MSTRG.397	LOC725841	/
MSTRG.3970	LOC412727	Nna1
MSTRG.3971	LOC102655898	PIG-B
MSTRG.3972	LOC727528	Dref
MSTRG.3973	LOC102655942	CG13999
MSTRG.3974	LOC727466	Xkr
MSTRG.3975	LOC726176	Naxe
MSTRG.3976	/	Naxe
MSTRG.3977	LOC412589	/
MSTRG.3978	LOC413508	Rsf1
MSTRG.3979	LOC725793	Zw10
MSTRG.398	LOC412141	Ostgamma
MSTRG.3980	LOC725269	bark
MSTRG.3981	LOC102655878	/
MSTRG.3982	LOC102655838	fus
MSTRG.3983	LOC102655779	/
MSTRG.3984	LOC412416	angel
MSTRG.3985	/	/
MSTRG.3986	LOC552614	CG14435
MSTRG.3987	LOC727483	sun
MSTRG.3988	LOC411415	TH1
MSTRG.3989	LOC409495	Lamp1
MSTRG.399	LOC102656812	Traf6
MSTRG.3990	LOC413331	Crag
MSTRG.3991	LOC551664	Ppt1
MSTRG.3992	LOC724983	CG11294
MSTRG.3993	LOC551605	Cib2
MSTRG.3994	/	/
MSTRG.3995	LOC551515	retm
MSTRG.3996	/	/
MSTRG.3997	LOC411942	mr
MSTRG.3998	LOC725878	how
MSTRG.3999	/	/
MSTRG.4	Rfwd3	mus302
MSTRG.40	/	/
MSTRG.400	LOC727479	ZnT77C
MSTRG.4000	LOC725904	Trs33
MSTRG.4001	/	/
MSTRG.4002	/	/
MSTRG.4003	/	/
MSTRG.4004	/	/
MSTRG.4005	LOC107963962	Ip259
MSTRG.4006	LOC411468	GramD1B
MSTRG.4007	Cbs	Cbs
MSTRG.4008	LOC413727	pit
MSTRG.4009	LOC113218716	gfzf
MSTRG.401	LOC413303	Pvr
MSTRG.4010	LOC409588	CG42322
MSTRG.4011	LOC102655796	Alg14
MSTRG.4012	/	/
MSTRG.4013	TRNAR-UCU	/
MSTRG.4014	LOC551614	sol
MSTRG.4015	LOC551672	CG9590
MSTRG.4016	LOC725896	Nup58
MSTRG.4017	LOC413440	kibra
MSTRG.4018	/	/
MSTRG.4019	/	/
MSTRG.402	LOC412282	LeuRS
MSTRG.4020	LOC725992	CG31036
MSTRG.4021	LOC725266	CG9662
MSTRG.4022	LOC551355	IntS2
MSTRG.4023	LOC409833	HemK1
MSTRG.4024	LOC726044	Mhcl
MSTRG.4025	/	/
MSTRG.4026	/	/
MSTRG.4027	LOC725341	Grip91
MSTRG.4028	/	/
MSTRG.4029	/	/
MSTRG.403	LOC551411	Pomp
MSTRG.4030	LOC100578947	CG31678
MSTRG.4031	LOC725374	lic
MSTRG.4032	/	/
MSTRG.4033	LOC552138	Mtl
MSTRG.4034	LOC100576272	Tsen34
MSTRG.4035	LOC411618	vtd
MSTRG.4036	LOC409134	CCT1
MSTRG.4037	LOC102653955	CG11722
MSTRG.4038	LOC113218717	CG34200
MSTRG.4039	LOC100578823	Dgkepsilon
MSTRG.404	LOC550789	CG10621
MSTRG.4040	LOC102654345	CG4884
MSTRG.4041	LOC107964272	/
MSTRG.4042	/	/
MSTRG.4043	LOC409172	CG6225
MSTRG.4044	LOC113218755	/
MSTRG.4045	TRNAA-AGC	/
MSTRG.4046	LOC409173	CG10175
MSTRG.4047	LOC107964308	/
MSTRG.4048	TRNAA-AGC	/
MSTRG.4049	LOC113218752	/
MSTRG.405	LOC725816	CG10621
MSTRG.4050	LOC100576383	alpha-Man-Ia
MSTRG.4051	/	/
MSTRG.4052	Mir3723	/
MSTRG.4053	/	alpha-Man-Ia
MSTRG.4054	LOC107964360	/
MSTRG.4055	Or130	Or22c
MSTRG.4056	LOC102656221	/
MSTRG.4057	LOC102656904	/
MSTRG.4058	LOC102653782	/
MSTRG.4059	LOC113218751	/
MSTRG.406	LOC550903	ArgRS
MSTRG.4060	LOC102653577	/
MSTRG.4061	LOC113218546	/
MSTRG.4062	LOC113218753	/
MSTRG.4063	LOC102655153	CG4797
MSTRG.4064	TRNAE-UUC	/
MSTRG.4065	TRNAI-AAU	/
MSTRG.4066	TRNAD-GUC	/
MSTRG.4067	TRNAR-ACG	/
MSTRG.4068	TRNAI-AAU	/
MSTRG.4069	TRNAS-AGA	/
MSTRG.407	LOC408616	sd
MSTRG.4070	LOC113218754	/
MSTRG.4071	/	/
MSTRG.4072	/	/
MSTRG.4073	TRNAG-GCC	/
MSTRG.4074	LOC100577876	viaf
MSTRG.4075	LOC411037	Meics
MSTRG.4076	LOC726421	frma
MSTRG.4077	LOC411038	ec
MSTRG.4078	/	/
MSTRG.4079	TRNAE-CUC	/
MSTRG.408	LOC102654549	/
MSTRG.4080	LOC107964335	/
MSTRG.4081	LOC411036	Task6
MSTRG.4082	/	/
MSTRG.4083	LOC102654736	CG10959
MSTRG.4084	/	/
MSTRG.4085	LOC100578714	/
MSTRG.4086	LOC100577976	Dmtn
MSTRG.4087	LOC100577725	teq
MSTRG.4088	LOC725011	CG4942
MSTRG.4089	LOC409883	Sf3a1
MSTRG.409	/	/
MSTRG.4090	LOC100577492	ex
MSTRG.4091	LOC102656583	/
MSTRG.4092	LOC100577527	/
MSTRG.4093	TRNAE-UUC	/
MSTRG.4094	TRNAE-UUC	/
MSTRG.4095	TRNAE-CUC	/
MSTRG.4096	TRNAE-CUC	/
MSTRG.4097	TRNAE-UUC	/
MSTRG.4098	TRNAE-UUC	/
MSTRG.4099	TRNAE-UUC	/
MSTRG.41	LOC107964068	/
MSTRG.410	LOC102654478	/
MSTRG.4100	LOC107964300	/
MSTRG.4101	LOC100578579	baz
MSTRG.4102	LOC725208	/
MSTRG.4103	LOC724739	CG6654
MSTRG.4104	LOC411030	Usp39
MSTRG.4105	LOC408810	PDZ-GEF
MSTRG.4106	LOC113218743	/
MSTRG.4107	/	/
MSTRG.4108	LOC100578609	CG7369
MSTRG.4109	/	/
MSTRG.411	LOC102654454	/
MSTRG.4110	/	/
MSTRG.4111	Mir263b	/
MSTRG.4112	Mir3724	/
MSTRG.4113	LOC100577798	/
MSTRG.4114	LOC724971	teq
MSTRG.4115	LOC409884	CG3534
MSTRG.4116	LOC102656174	CG3534
MSTRG.4117	LOC102656261	Dad
MSTRG.4118	LOC113218741	/
MSTRG.4119	LOC102656089	/
MSTRG.412	LOC113219397	/
MSTRG.4120	/	/
MSTRG.4121	LOC724429	CG33233
MSTRG.4122	LOC100576514	CG13850
MSTRG.4123	LOC724303	AP-1sigma
MSTRG.4124	LOC408809	CG31140
MSTRG.4125	LOC551012	Lerp
MSTRG.4126	LOC412703	Tl
MSTRG.4127	LOC724472	Tti1
MSTRG.4128	LOC552077	EMC1
MSTRG.4129	LOC408808	Sap-r
MSTRG.413	LOC102654413	/
MSTRG.4130	LOC100576125	Ndc1
MSTRG.4131	LOC411026	CG9799
MSTRG.4132	LOC102654580	dsf
MSTRG.4133	LOC102654550	dsf
MSTRG.4134	LOC113218549	/
MSTRG.4135	LOC408807	CG32055
MSTRG.4136	/	/
MSTRG.4137	/	/
MSTRG.4138	LOC102655177	/
MSTRG.4139	LOC100576283	/
MSTRG.414	LOC102654358	/
MSTRG.4140	/	/
MSTRG.4141	/	/
MSTRG.4142	/	/
MSTRG.4143	LOC113218722	/
MSTRG.4144	LOC102654975	mamo
MSTRG.4145	LOC724888	Rassf
MSTRG.4146	/	/
MSTRG.4147	/	/
MSTRG.4148	/	/
MSTRG.4149	/	/
MSTRG.415	LOC100577822	/
MSTRG.4150	/	/
MSTRG.4151	/	/
MSTRG.4152	/	/
MSTRG.4153	/	/
MSTRG.4154	/	/
MSTRG.4155	/	/
MSTRG.4156	/	/
MSTRG.4157	/	/
MSTRG.4158	LOC725327	tll
MSTRG.4159	LOC551656	/
MSTRG.416	LOC102654894	IntS12
MSTRG.4160	/	/
MSTRG.4161	/	/
MSTRG.4162	LOC409776	/
MSTRG.4163	/	/
MSTRG.4164	LOC100578672	/
MSTRG.4165	LOC102656931	/
MSTRG.4166	LOC100577562	Cpr97Ea
MSTRG.4167	LOC100578248	CG15544
MSTRG.4168	CPR27	Cpr97Eb
MSTRG.4169	/	/
MSTRG.417	/	/
MSTRG.4170	/	Cpr97Ea
MSTRG.4171	LOC725547	Cpr97Ea
MSTRG.4172	LOC413113	Cpr97Eb
MSTRG.4173	/	/
MSTRG.4174	LOC725701	MFS3
MSTRG.4175	LOC100576163	/
MSTRG.4176	LOC408805	CG7530
MSTRG.4177	LOC107964304	/
MSTRG.4178	LOC724830	jvl
MSTRG.4179	LOC113218738	/
MSTRG.418	LOC113218819	/
MSTRG.4180	LOC107964305	/
MSTRG.4181	/	/
MSTRG.4182	LOC102654066	CG43693
MSTRG.4183	/	/
MSTRG.4184	/	/
MSTRG.4185	LOC113218739	/
MSTRG.4186	LOC413117	CG8785
MSTRG.4187	LOC725209	Snmp1
MSTRG.4188	LOC725254	CG12071
MSTRG.4189	CPR19	Cpr100A
MSTRG.419	LOC410754	Rbm13
MSTRG.4190	LOC409596	CG14085
MSTRG.4191	LOC552635	fh
MSTRG.4192	LOC725832	GNBP1
MSTRG.4193	/	/
MSTRG.4194	LOC409129	mRpS10
MSTRG.4195	LOC100578201	CG3808
MSTRG.4196	/	/
MSTRG.4197	LOC100578168	FucTA
MSTRG.4198	/	/
MSTRG.4199	/	/
MSTRG.42	LOC107964063	/
MSTRG.420	LOC107965891	CG6115
MSTRG.4200	LOC408804	Plc21C
MSTRG.4201	/	/
MSTRG.4202	Mir2796	/
MSTRG.4203	/	/
MSTRG.4204	LOC411021	Ugt302E1
MSTRG.4205	LOC550811	timeout
MSTRG.4206	Mir6054	2mit
MSTRG.4207	LOC725961	Ccdc58
MSTRG.4208	LOC551126	CG9231
MSTRG.4209	LOC411024	CG7275
MSTRG.421	LOC409517	CtsK1
MSTRG.4210	LOC408803	Egfrap
MSTRG.4211	LOC107964323	PVRAP
MSTRG.4212	/	/
MSTRG.4213	LOC102655281	/
MSTRG.4214	LOC411023	Cad88C
MSTRG.4215	LOC408801	sba
MSTRG.4216	LOC408799	RpS24
MSTRG.4217	LOC724368	Droj2
MSTRG.4218	LOC107964275	/
MSTRG.4219	LOC102656444	CG18764
MSTRG.422	LOC412528	eya
MSTRG.4220	LOC724532	eIF1A
MSTRG.4221	LOC113218730	/
MSTRG.4222	LOC552007	Pyk
MSTRG.4223	LOC107964261	/
MSTRG.4224	LOC411589	SMC1
MSTRG.4225	LOC552429	Prx5
MSTRG.4226	LOC724740	slp2
MSTRG.4227	LOC724781	CG9497
MSTRG.4228	LOC113218737	/
MSTRG.4229	LOC113218713	SMC1
MSTRG.423	/	/
MSTRG.4230	/	SMC1
MSTRG.4231	LOC724889	SMC1
MSTRG.4232	LOC113218736	SMC1
MSTRG.4233	LOC410038	/
MSTRG.4234	/	/
MSTRG.4235	/	Col4a1
MSTRG.4236	LOC552293	CG9864
MSTRG.4237	/	LManII
MSTRG.4238	LOC552249	LManII
MSTRG.4239	LOC724481	CG1674
MSTRG.424	LOC408615	Nf-YC
MSTRG.4240	/	/
MSTRG.4241	LOC413591	Noc2
MSTRG.4242	LOC409051	Ank2
MSTRG.4243	/	Ank2
MSTRG.4244	LOC107964281	/
MSTRG.4245	/	/
MSTRG.4246	LOC411759	Hcs
MSTRG.4247	/	/
MSTRG.4248	LOC725012	CG6254
MSTRG.4249	LOC411760	mGluR
